team,route_name,location_name,sequence,latitude,longitude,date,description
1,海陆并用,长沙,1,28.23,112.94,1938/2/1,联大师生撤离起点
1,海陆并用,广州,2,23.13,113.26,1938/2/1,经粤汉铁路到广州
1,海陆并用,香港,3,22.28,114.17,1938/2/1,乘船经过香港中转
1,海陆并用,海防,4,20.48,106.4,1938/3/1,乘船到海防后，经过滇越铁路到昆明
1,海陆并用,昆明,5,24.88,102.83,1938/4/1,联大终点
2,教授团,长沙,1,28.23,112.94,1938/2/1,冯友兰、朱自清等教授出发
2,教授团,桂林,2,25.24,110.18,1938/2/1,途经城市
2,教授团,南宁,3,22.819,108.365,1938/3/1,途经城市
2,教授团,河内,4,21.0278,105.8342,1938/3/1,乘坐汽车进入越南后，经过滇越铁路到昆明
2,教授团,昆明,5,24.88,102.83,1938/4/1,联大终点
3,湘黔滇步行团,长沙,1,28.23,112.94,1938/2/19,步行团出发
3,湘黔滇步行团,沅陵,2,28.4474,110.3931,1938/3/1,途经城市
3,湘黔滇步行团,贵阳,3,26.6477,106.6301,1938/4/1,途经城市
3,湘黔滇步行团,安顺,4,26.2536,105.9463,1938/4/1,途经城市
3,湘黔滇步行团,曲靖,5,25.4909,103.7962,1938/4/1,途经城市
3,湘黔滇步行团,昆明,6,24.88,102.83,1938/4/26,联大终点，步行团胜利抵达