route_id,route_name,location_name,sequence,latitude,longitude,date,description
1,海陆并用,长沙,1,28.2282,112.9388,1938-02,联大师生撤离起点
1,海陆并用,广州,2,23.1291,113.2644,1938-02,中转站
1,海陆并用,香港,3,22.3193,114.1694,1938-02,乘船中转，部分师生经此
1,海陆并用,海防,4,20.8561,106.6822,1938-03,越南重要港口
1,海陆并用,河内,5,21.0278,105.8342,1938-03,滇越铁路起点
1,海陆并用,昆明,6,25.0436,102.7001,1938-04,联大终点
2,教授团,长沙,1,28.2282,112.9388,1938-02,冯友兰、朱自清等教授出发
2,教授团,桂林,2,25.2345,110.1795,1938-02,途经城市
2,教授团,南宁,3,22.819,108.365,1938-03,途经城市
2,教授团,凭祥,4,22.0943,106.7564,1938-03,进入越南的关口
2,教授团,河内,5,21.0278,105.8342,1938-03,中转，换乘火车
2,教授团,昆明,6,25.0436,102.7001,1938-04,联大终点
3,湘黔滇步行团,长沙,1,28.2282,112.9388,1938-02,步行团出发
3,湘黔滇步行团,沅陵,2,28.4474,110.3931,1938-03,途经城市
3,湘黔滇步行团,贵阳,3,26.6477,106.6301,1938-04,途经城市
3,湘黔滇步行团,安顺,4,26.2536,105.9463,1938-04,途经城市
3,湘黔滇步行团,曲靖,5,25.4909,103.7962,1938-04,途经城市
3,湘黔滇步行团,昆明,6,25.0436,102.7001,1938-04-01,联大终点，步行团胜利抵达